City,Gem. vraagprijs,%Δ Vraagprijs (t.o.v vorige maand),Verkochte woningen,%Δ Verkocht (t.o.v vorige maand),Gem. m2 prijs,%Δ M2 prijs (t.o.v vorige maand),% Vraagprijs overboden,%Δ Overboden (t.o.v vorige maand),Besteedbaar inkomen (per huishouden)
 Oosterhout,€ 389.000,21.94%,22,-62.07%,€ 3.068,-1.16%,6.87%,1.56%,€ 38.800
 Oss,€ 374.750,15.31%,53,-44.79%,€ 3.006,9.19%,5.51%,0.02%,€ 38.400
 Reusel-De Mierden,€ 320.000,-12.81%,7,-41.67%,€ 2.917,-5.32%,2.32%,-2.84%,€ 43.600
 Roosendaal,€ 252.250,-11.49%,46,-35.21%,€ 2.547,-5.25%,10.15%,3.61%,€ 36.300
 Rucphen,€ 400.000,16.79%,11,-21.43%,€ 2.892,0.59%,3.93%,3.47%,€ 39.400
 's-Hertogenbosch,€ 350.000,-7.89%,84,-52.81%,€ 3.457,1.05%,8.34%,0.58%,€ 37.000
 Sint Anthonis,€ 462.500,46.83%,6,-45.45%,€ 3.031,7.83%,20.04%,19.86%,€ 44.100
 Sint-Michielsgestel,€ 435.000,0.69%,15,-40.00%,€ 3.684,2.02%,7.54%,2.33%,€ 46.000
 Someren,€ 360.000,1.41%,6,-70.00%,€ 2.939,9.79%,4.87%,0.70%,€ 41.100
 Son en Breugel,€ 348.500,-13.25%,6,-57.14%,€ 3.278,21.77%,13.59%,3.54%,€ 46.800
 Steenbergen,€ 314.500,5.18%,13,-35.00%,€ 2.842,9.81%,5.53%,0.85%,€ 36.100
 Tilburg,€ 320.000,1.59%,96,-50.52%,€ 2.899,-3.37%,10.63%,1.56%,€ 31.600
 Uden,€ 325.000,-2.26%,11,-72.50%,€ 3.390,15.15%,6.07%,1.53%,€ 38.300
 Valkenswaard,€ 354.500,2.98%,16,-55.56%,€ 3.459,9.98%,12.42%,1.16%,€ 37.400
 Veldhoven,€ 410.500,8.31%,20,-48.72%,€ 3.438,-2.33%,8.41%,0.01%,€ 42.000
 Vught,€ 375.000,-18.43%,17,-39.29%,€ 3.700,-1.93%,6.89%,-0.22%,€ 43.500
 Waalre,€ 447.500,-33.70%,4,-55.56%,€ 3.734,-11.07%,10.64%,0.37%,€ 47.300
 Waalwijk,€ 285.000,-8.06%,18,-59.09%,€ 2.736,-5.75%,5.48%,1.02%,€ 37.500
 Woensdrecht,€ 309.000,21.41%,12,-36.84%,€ 2.719,3.46%,7.02%,2.56%,€ 38.800
 Zundert,€ 285.000,-18.34%,9,-57.14%,€ 3.276,17.63%,4.07%,-0.45%,€ 40.700
